Title,SKU,Price,Title,Keyword,B1,B2,B3,B4,B5,,,Picture to add
Amazonian Dark Earth Organic Soil Amendment Fertilizer Biochar & Minerals,ADE-7-5QT,24.99,"Amazonian Dark Earth Organic Soil Amendment with Biochar & Minerals – Natural Fertilizer for Plants, Vegetables & Lawns","biochar fertilizer, terra preta, organic soil amendment, vegetable garden fertilizer, compost booster, raised bed soil, black earth soil, organic plant food, natural fertilizer, microbial soil, soil conditioner, sustainable gardening, fruit tree fertilizer, regenerative farming, garden soil booster","🌿 Inspired by Ancient Terra Preta: Enriched with biochar and trace minerals, this soil amendment mimics the Amazon rainforest’s ultra-fertile black earth.","🔥 Premium Biochar Boost: Enhances microbial activity, improves soil aeration, and locks in nutrients and moisture.","🌎 Sustainable & Organic: Made from natural, regenerative materials without synthetic chemicals. Ideal for organic gardening.","🌾 Versatile Garden Application: Perfect for vegetables, fruit trees, herbs, lawn restoration, raised beds, and composting systems.","💪 Long-Term Soil Health: Builds soil carbon, improves structure, and supports resilient plant growth over time.",,"bio booster, expert gardeners, professionals, must be used together with compost for microbials can be inoculated, used with compost for living component, OMRI",
Artemis RootBoost Concentrated Organic Soil Amendment Fertilizer for Trees & Shrubs,ART-9LB,33.99,"Artemis Root Boost Organic Soil Amendment – Concentrated Fertilizer for Trees, Shrubs & Deep Root Growth","tree fertilizer organic, shrub fertilizer, root growth booster, transplant fertilizer, organic plant food, tree root booster, deep root feeding, landscape trees, fruit tree food, woody plant fertilizer, drought resistant soil, OMRI soil amendment, perennial fertilizer, backyard trees, hedge fertilizer","🌱 Deep Root Support: Encourages vigorous root development in trees and shrubs, improving water and nutrient uptake.",🌿 Concentrated Organic Formula: Just a small amount goes a long way in feeding large root systems.,"🌲 Ideal for Perennials & Woody Plants: Tailored for fruit trees, ornamentals, hedges, native trees, and large shrubs.","🛡️ Stress Resistance & Resilience: Helps plants withstand drought, transplant shock, and soil compaction.",🧪 Natural Ingredients Only: Free from synthetic chemicals—OMRI-listed organic ingredients only.,,,- Trees and shrubs with 2 inch compost layer in the root zone
Bacchus Concentrated Organic Soil Amendment Fertilizer for Grape vines,BAC-9LB,33.99,Bacchus Organic Fertilizer for Grapevines – Concentrated Soil Amendment for Vineyards & Grape Fruit Production,"grapevine fertilizer, vineyard organic fertilizer, grape root booster, organic fruit fertilizer, wine grape soil, fruit vine food, vineyard soil amendment, compost for grapes, organic fertilizer for grapes, trellis vine booster, vineyard nutrition, grape root development, natural fertilizer, organic vine compost, vineyard care","🍇 Formulated for Grapes: Specially made to boost grapevine health, root growth, and fruit development.",💧 Improves Soil Moisture Retention: Reduces watering frequency while maximizing nutrient efficiency.,🌿 Organic Vineyard Care: Ideal for backyard vines or full-scale vineyards using organic growing methods.,"🧱Mineral-Rich & Bioactive: Contains essential trace minerals and microbial food for rich, balanced soil.","🍷 Better Harvests, Naturally: Encourages stronger vines, more clusters, and better flavor in your grape yields.",,,- Trees and shrubs with 2 inch compost layer in the root zone
Carbo Charge,CAR-1CF,135.96,Carbo Charge Organic Carbon-Based Soil Booster – Improves Soil Health & Microbial Activity,"carbon soil amendment, microbial soil booster, compost activator, regenerative gardening, organic carbon fertilizer, microbial food, humic acid alternative, soil conditioner organic, root zone enhancer, no till amendment, cover crop supplement, organic garden booster, active carbon soil, biochar alternative, soil carbon enrichment",⚫ Packed with Organic Carbon: Supercharges soil microbial life and promotes nutrient cycling.,"🌿 Soil Rejuvenator: Improves soil texture, water retention, and long-term fertility.",🔁 Boosts Nutrient Efficiency: Helps plants absorb more from existing soil and fertilizers.,🧫 Microbe Magnet: Encourages growth of beneficial soil microbes and fungi.,"♻️ Perfect for Regenerative Gardens: Great for compost piles, cover crops, no-till beds, and organic farms.",,"For experts - organic matter added to into , add dormancy element for soil usage, a carbohydrate that assist roots. Used on ornamentals and is a landscaping product","- dormancy, landscaper, use afte growing seacsonm"
Clay Cure Silt Soil Drought Blend,CLY-1CF,135.96,Clay Cure Silt Soil Blend – Drought-Resistant Soil Amendment for Clay & Compacted Soils,"clay soil conditioner, silt soil improvement, compacted soil fix, drought soil blend, water retaining soil, poor soil amendment, organic clay buster, root growth in clay, soil structure repair, garden drainage soil, fix heavy soil, organic soil mix, eco-friendly soil blend, lawn soil conditioner, dense soil amendment",🧱 Fixes Compacted Clay & Silt Soils: Breaks up dense soils to improve drainage and root access.,💧 Drought Protection Formula: Improves water infiltration while increasing retention for dry periods.,"🌱 Stimulates Root Growth: Encourages stronger, deeper root development in tough soil conditions.","🌾 For Lawns, Gardens & Fields: Ideal for crops, turf, flower beds, and raised garden beds.",🌎 Organic & Sustainable: All-natural blend designed for eco-conscious gardeners and growers.,,,Two part phtoo before and after
Cultivator's Rose Blend Concentrated Organic Soil Amendment Fertilizer,ROS-9LB,49.99,Cultivator’s Rose Blend – Organic Fertilizer & Soil Amendment for Roses & Flowering Shrubs,"rose fertilizer organic, flowering plant food, bloom booster organic, rose garden fertilizer, flower bed soil mix, organic rose compost, fragrant bloom fertilizer, flower pot soil blend, flowering shrub amendment, rose root booster, safe for pollinators, rose bush fertilizer, organic flower garden soil, concentrated rose feed, blooming plant nutrient","🌹 Special Formula for Roses: Promotes lush foliage and abundant, fragrant blooms.",🌺 Balanced Organic Nutrients: Supports healthy root systems and long flowering periods.,"🐝 Bee-Friendly Gardening: No synthetic chemicals, safe for pollinators and beneficial insects.","✅ Versatile Application: Use in rose beds, flower pots, garden borders, and landscaping.",💖 Concentrated & Long-Lasting: A small dose goes a long way—feeds plants for weeks.,,"All in one solution - No need others ( organic compost, bone meal and rock phosphate, peatmoss and coco, organic mulch, fertilizer, Mycorrhizal Fungi )",All in one solutions 
Dan's Drought Mix Concentrated Organic Soil Amendment Fertilizer for drought resilience,DDR-1CF,99.96,Dan’s Drought Mix Organic Soil Amendment – Concentrated Fertilizer for Drought-Resistant Gardening,"drought tolerant soil, water saving fertilizer, organic drought soil, dry garden amendment, lawn drought mix, heat stress plants, water retention soil blend, sustainable farming fertilizer, drought compost, drought fertilizer organic, hot weather gardening, eco lawn mix, dry soil conditioner, organic resilience blend, water wise garden",💧 Drought Protection Formula: Improves water infiltration while increasing retention for dry periods.,💧 Improves Soil Moisture Retention: Reduces watering frequency while maximizing nutrient efficiency.,🌿 Organic Vineyard Care: Ideal for backyard vines or full-scale vineyards using organic growing methods.,"🧱Mineral-Rich & Bioactive: Contains essential trace minerals and microbial food for rich, balanced soil.","🍷 Better Harvests, Naturally: Encourages stronger vines, more clusters, and better flavor in your grape yields.",,,https://gamma.app/docs/Saving-Water-in-the-Sourwest-7t1ku90onita377
Dan's Gold Organic Dairy Compost,DGD-1CF,99.96,"Dan’s Gold Organic Dairy Compost – Rich, Aged Compost for Garden Beds, Raised Beds & Soil Enrichment","dairy compost, aged manure compost, organic compost soil, vegetable garden compost, flower bed soil amendment, compost for lawns, composted cow manure, raised bed soil booster, black gold soil, organic humus, garden compost organic, odorless compost, backyard compost mix, compost for trees, high quality compost",🐄 Rich in Organic Matter: Made from aged dairy manure composted for optimal nutrient availability.,🌱 Feeds Soil Life: Packed with humus and microbes to build long-term soil health.,"🌿 Ideal for Veggies & Flowers: Great for garden beds, containers, lawns, and tree planting.","✅ Fully Composted, No Smell: Screened and aged for odor-free, safe application.","🧑‍🌾 Farmer-Approved Quality: Sourced from responsible dairy farms, free of synthetic chemicals.",,Aging recreates natural biology and soil beneficial microbials,"- Garden beds, Tress "
Dessert Defender,DEF-1CF,135.96,Dessert Defender Organic Sandy Soil Amendment – Extreme Heat & Drought Protection for Sandy Soils,"desert soil amendment, sandy soil conditioner, drought garden soil, hot climate fertilizer, desert gardening mix, arid soil fix, sandy soil water retention, succulent soil additive, dry landscape soil, cactus garden amendment, mineral soil blend, xeriscape fertilizer, native plant soil mix, low water soil amendment, desert compost organic","🌞 Formulated for Arid Climates: Tailored to protect plants in hot, sandy, and water-scarce soils.",🌵 Improves Water Retention: Holds moisture longer in fast-draining soils.,🧱Enriched with Minerals: Rebuilds nutrient-poor soils common in desert or sandy zones.,"🌱 Supports Native Plants: Great for succulents, native grasses, palms, and xeriscaping.","💧 Concentrated for Efficiency: One bag treats a large area, saving water and money.",,,"-, sandy soil before and after"
Flower Flourish Flowering Plant Potting Mix,FLW-1-5CF,111.96,"Flower Flourish – Organic Potting Mix for Blooming Plants , Container Garden, Indoor plants","flower potting mix, blooming plant soil, hanging basket soil, potting soil for flowers, organic flowering soil, flower box mix, flowering plant fertilizer, balcony garden soil, container garden mix, flower garden potting soil, bloom booster potting mix, compost for flowers, potted plant soil, colorful flower soil, patio flower mix",🌺 Optimized for Blooms: Supports vibrant flowers and lush growth in container and potted plants.,🌿 Balanced Organic Nutrients: Encourages healthy roots and continuous flowering cycles.,✅ Perfect for Pots & Baskets: Designed for excellent drainage and moisture balance in planters.,"🐝 Pollinator-Friendly Formula: Chemical-free and safe for bees, butterflies, and beneficial insects.",💐 Ready-to-Use Mix: No mixing required—use straight from the bag in all flowering plant containers.,,,- Amendmetn added to flower
